time_s,face_yaw,face_pitch,face_roll,face_pos_x,face_pos_y,faceProb,leftEyeProb,rightEyeProb,leftBlinkProb,rightBlinkProb,sunglassesProb,occludedProb,readyProb_0,readyProb_1,readyProb_2,readyProb_3,notReadyProb_0,notReadyProb_1,poorVisionProb,awarenessStatus,isDistracted,distractedType,faceDetected,isRHD
0.000000,0.023773,-0.653809,-0.279190,0.097488,-0.008499,0.938787,0.054324,0.121621,0.181227,0.161767,0.369386,0.470012,0.494319,0.535489,0.529937,0.490754,0.012381,0.527666,0.042019,1.000000,0,0,0,0
0.050000,0.023773,-0.653809,-0.279190,0.097488,-0.008499,0.938787,0.054324,0.121621,0.181227,0.161767,0.369386,0.470012,0.494319,0.535489,0.529937,0.490754,0.012381,0.527666,0.042019,1.000000,0,0,0,0
0.100000,0.023773,-0.653809,-0.279190,0.097488,-0.008499,0.938787,0.054324,0.121621,0.181227,0.161767,0.369386,0.470012,0.494319,0.535489,0.529937,0.490754,0.012381,0.527666,0.042019,1.000000,0,0,0,0
0.150000,0.023773,-0.653809,-0.279190,0.097488,-0.008499,0.938787,0.054324,0.121621,0.181227,0.161767,0.369386,0.470012,0.494319,0.535489,0.529937,0.490754,0.012381,0.527666,0.042019,1.000000,0,0,0,0
0.200000,0.023773,-0.653809,-0.279190,0.097488,-0.008499,0.938787,0.054324,0.121621,0.181227,0.161767,0.369386,0.470012,0.494319,0.535489,0.529937,0.490754,0.012381,0.527666,0.042019,1.000000,0,0,0,0
0.250000,0.023773,-0.653809,-0.279190,0.097488,-0.008499,0.938787,0.054324,0.121621,0.181227,0.161767,0.369386,0.470012,0.494319,0.535489,0.529937,0.490754,0.012381,0.527666,0.042019,1.000000,0,0,0,0
0.300000,0.040866,-0.594056,-0.248580,0.099467,-0.011352,0.942507,0.093905,0.186920,0.176692,0.161569,0.987828,0.470123,0.494691,0.535772,0.529626,0.491522,0.013014,0.529015,0.052401,1.000000,0,0,0,0
0.350000,0.024288,-0.577904,-0.234243,0.100466,-0.010280,0.944384,0.156217,0.282042,0.158002,0.136034,0.990204,0.470027,0.494905,0.535371,0.529630,0.491461,0.012309,0.530046,0.061301,1.000000,0,0,0,0
0.400000,0.018586,-0.579289,-0.221837,0.101531,-0.009670,0.945525,0.186125,0.328464,0.155278,0.131450,0.995828,0.469604,0.494941,0.535100,0.529800,0.491484,0.011624,0.530779,0.083206,1.000000,0,0,0,0
0.450000,0.006786,-0.543982,-0.203146,0.102814,-0.008533,0.949188,0.460198,0.604335,0.155553,0.137319,0.995705,0.469712,0.495148,0.534868,0.530242,0.491764,0.016290,0.531509,0.103766,1.000000,0,0,0,0
