time_s,model_desiredCurvature,model_desiredAcceleration,laneLeft_prob,laneRight_prob,laneLeft_y,laneRight_y,laneChangeState,laneChangeDirection,aTarget,shouldStop,hasLead,fcw,longPlanSource
0.000000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.050000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.100000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.150000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.200000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.250000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.300000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.350000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.400000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.450000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.500000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.550000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.600000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.650000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.700000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.750000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.800000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.850000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.900000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
0.950000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.000000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.050000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.100000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.150000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.200000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.250000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.300000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.350000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.400000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.450000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.500000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.550000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.600000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.650000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.700000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.750000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.800000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.850000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.900000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
1.950000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.000000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.050000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.100000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.150000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.200000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.250000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.300000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.350000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.400000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.450000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.500000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.550000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.600000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.650000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.700000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.750000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.800000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.850000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.900000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
2.950000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.000000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.050000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.100000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.150000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.200000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.250000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.300000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.350000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.400000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.450000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.500000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.550000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.600000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.650000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.700000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.750000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.800000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.850000,-0.112549,,0.103884,0.076739,-1.402119,1.846482,off,none,0.717220,0,0,0,cruise
3.900000,-0.086177,,0.117686,0.085706,-1.374831,1.851809,off,none,0.777800,0,0,0,cruise
3.950000,-0.094315,,0.123601,0.088271,-1.372588,1.851528,off,none,0.858540,0,0,0,cruise
4.000000,-0.148730,,0.117760,0.080253,-1.403481,1.840002,off,none,0.878858,0,0,0,cruise
4.050000,-0.104806,,0.111969,0.077304,-1.401262,1.870336,off,none,0.878840,0,0,0,cruise
4.100000,-0.013331,,0.101796,0.078091,-1.394828,1.905440,off,none,0.878791,0,0,0,cruise
4.150000,-0.094600,,0.103644,0.073971,-1.417362,1.776099,off,none,0.878792,0,0,0,cruise
4.200000,-0.108056,,0.101098,0.076010,-1.429942,1.802801,off,none,0.878791,0,0,0,cruise
4.250000,-0.072443,,0.097664,0.073390,-1.396850,1.799251,off,none,0.878791,0,0,0,cruise
4.300000,-0.138303,,0.103367,0.075829,-1.403819,1.793120,off,none,0.878791,0,0,0,cruise
4.350000,-0.138683,,0.112465,0.076241,-1.428511,1.809628,off,none,0.878791,0,0,0,cruise
4.400000,-0.149150,,0.100747,0.073571,-1.443895,1.833530,off,none,0.878791,0,0,0,cruise
4.450000,-0.163385,,0.113927,0.083237,-1.451769,1.762145,off,none,0.878791,0,0,0,cruise
4.500000,-0.117956,,0.098380,0.077145,-1.446924,1.815794,off,none,0.878791,0,0,0,cruise
4.550000,-0.181415,,0.106172,0.079756,-1.454427,1.827768,off,none,0.878791,0,0,0,cruise
4.600000,-0.165003,,0.104352,0.076907,-1.453129,1.816864,off,none,0.878791,0,0,0,cruise
4.650000,-0.138059,,0.103356,0.079918,-1.439184,1.782789,off,none,0.878791,0,0,0,cruise
4.700000,-0.149496,,0.105027,0.091209,-1.412574,1.797819,off,none,0.878791,0,0,0,cruise
4.750000,-0.177544,,0.108502,0.076446,-1.436755,1.811174,off,none,0.878791,0,0,0,cruise
4.800000,-0.161346,,0.117002,0.078133,-1.442641,1.832575,off,none,0.878791,0,0,0,cruise
4.850000,-0.138197,,0.113184,0.079344,-1.457932,1.764999,off,none,0.878791,0,0,0,cruise
4.900000,-0.180559,,0.118297,0.082927,-1.440045,1.807460,off,none,0.878791,0,0,0,cruise
4.950000,-0.177138,,0.118560,0.082397,-1.440116,1.818936,off,none,0.878791,0,0,0,cruise
5.000000,-0.192667,,0.125782,0.082919,-1.454549,1.750265,off,none,0.878791,0,0,0,cruise
5.050000,-0.186126,,0.117984,0.082533,-1.453559,1.787837,off,none,0.878791,0,0,0,cruise
5.100000,-0.184552,,0.107287,0.079828,-1.454530,1.753772,off,none,0.878791,0,0,0,cruise
5.150000,-0.179387,,0.114177,0.074782,-1.432702,1.824983,off,none,0.878791,0,0,0,cruise
5.200000,-0.196159,,0.138830,0.087947,-1.457871,1.810866,off,none,0.878791,0,0,0,cruise
5.250000,-0.182910,,0.136055,0.085204,-1.445719,1.837931,off,none,0.878791,0,0,0,cruise
5.300000,-0.139110,,0.137393,0.090689,-1.440414,1.855738,off,none,0.878791,0,0,0,cruise
5.350000,-0.119014,,0.120431,0.089100,-1.439422,1.824840,off,none,0.878791,0,0,0,cruise
5.400000,-0.199348,,0.156755,0.101762,-1.443573,1.776513,off,none,0.878791,0,0,0,cruise
5.450000,-0.199642,,0.136619,0.081189,-1.455255,1.756252,off,none,0.878791,0,0,0,cruise
5.500000,-0.199626,,0.165550,0.101229,-1.453781,1.712137,off,none,0.878791,0,0,0,cruise
5.550000,-0.191664,,0.161647,0.102946,-1.433743,1.640347,off,none,0.878791,0,0,0,cruise
5.600000,-0.185421,,0.119883,0.085705,-1.437716,1.606606,off,none,0.878791,0,0,0,cruise
5.650000,-0.200800,,0.138893,0.096751,-1.436606,1.578621,off,none,0.878791,0,0,0,cruise
5.700000,-0.200894,,0.131566,0.091271,-1.420271,1.623242,off,none,0.878791,0,0,0,cruise
5.750000,-0.200594,,0.097534,0.079182,-1.407695,1.615258,off,none,0.878791,0,0,0,cruise
5.800000,-0.199118,,0.103441,0.072946,-1.415333,1.601183,off,none,0.878791,0,0,0,cruise
5.850000,-0.200258,,0.116418,0.081599,-1.418408,1.621589,off,none,0.878791,0,0,0,cruise
5.900000,-0.200223,,0.152043,0.105948,-1.434127,1.540246,off,none,0.878791,0,0,0,cruise
5.950000,-0.200593,,0.131666,0.094919,-1.415398,1.547846,off,none,0.878791,0,0,0,cruise
6.000000,-0.200712,,0.124117,0.096843,-1.425227,1.511574,off,none,0.878791,0,0,0,cruise
6.050000,-0.200550,,0.134903,0.096363,-1.420120,1.537515,off,none,0.878791,0,0,0,cruise
6.100000,-0.201263,,0.103687,0.078837,-1.407744,1.596538,off,none,0.878791,0,0,0,cruise
6.150000,-0.200558,,0.135442,0.101605,-1.412409,1.551761,off,none,0.878791,0,0,0,cruise
6.200000,-0.200707,,0.129441,0.095209,-1.410648,1.550407,off,none,0.878791,0,0,0,cruise
6.250000,-0.200315,,0.147701,0.108536,-1.415180,1.532492,off,none,0.878791,0,0,0,cruise
6.300000,-0.201052,,0.138049,0.100399,-1.445294,1.542561,off,none,0.878791,0,0,0,cruise
6.350000,-0.200019,,0.104464,0.076601,-1.427439,1.543357,off,none,0.878791,0,0,0,cruise
6.400000,-0.199411,,0.125980,0.098032,-1.413960,1.575455,off,none,0.878791,0,0,0,cruise
6.450000,-0.200703,,0.116026,0.095519,-1.410537,1.543661,off,none,0.878791,0,0,0,cruise
