time_s,face_yaw,face_pitch,face_roll,face_pos_x,face_pos_y,faceProb,leftEyeProb,rightEyeProb,leftBlinkProb,rightBlinkProb,sunglassesProb,occludedProb,readyProb_0,readyProb_1,readyProb_2,readyProb_3,notReadyProb_0,notReadyProb_1,poorVisionProb,awarenessStatus,isDistracted,distractedType,faceDetected,isRHD
0.000000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.050000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.100000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.150000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.200000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.250000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.300000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.350000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.400000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.450000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.500000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.550000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.600000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.650000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.700000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.750000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.800000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.850000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.900000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
0.950000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
1.000000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
1.050000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
1.100000,0.045109,0.250397,0.628281,0.141251,-0.001190,0.938899,0.773644,0.686344,0.722086,0.732950,0.000017,0.482434,0.488509,0.524432,0.518926,0.494726,0.002784,0.541051,0.258935,1.000000,0,0,0,0
