time_s,vEgo,aEgo,vEgoRaw,standstill,steeringAngleDeg,steeringTorque,steeringPressed,gas,gasPressed,brake,brakePressed,cruiseState_enabled,cruiseState_available,cruiseState_speed,cc_enabled,cc_latActive,cc_longActive,leftBlinker,rightBlinker,actuators_accel,actuators_torque,actuators_speed,actuators_curvature,co_accel,co_brake,co_gas,co_steer,co_steeringAngleDeg,co_curvature,cs_enabled,cs_active,cs_curvature,cs_desiredCurvature,cs_vCruise,cs_longControlState,cs_forceDecel
0.180000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.190000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.200000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.210000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.220000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.230000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.240000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.250000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.260000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.270000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
