time_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.000000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.010000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.020000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.030000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.040000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.050000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.060000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.070000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.080000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.090000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.100000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.110000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.120000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.130000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.140000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.150000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.160000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.170000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.180000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.190000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.200000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.210000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.220000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.230000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.240000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.250000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.260000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.270000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.280000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.290000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.300000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.310000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.320000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.330000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.340000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.350000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.360000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.370000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.380000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.390000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.400000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.410000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.420000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.430000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.440000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.450000,9.387878,0.152084,0.021555,-0.015119,0.007330,0.017257
0.460000,9.384388,0.230625,-0.008698,-0.015119,0.007330,0.017257
0.470000,9.761347,0.309108,-0.032078,-0.015560,0.007079,0.016942
0.480000,10.115464,0.385297,-0.029789,-0.016040,0.006804,0.016599
0.490000,10.031254,0.415181,0.287695,-0.017666,0.002660,0.020339
0.500000,9.910957,0.544547,0.252589,-0.017400,0.003827,0.024252
0.510000,10.182686,0.781624,0.189180,-0.016397,0.003674,0.027721
0.520000,10.103080,0.624706,0.157441,-0.015719,0.002432,0.033671
0.530000,10.421437,0.480560,0.269676,-0.015269,0.004712,0.038607
0.540000,10.627334,0.417383,0.268341,-0.014875,0.006051,0.043647
0.550000,10.342262,0.294251,0.088488,-0.013961,0.001489,0.044867
0.560000,9.791785,-0.052220,-0.106093,-0.012605,0.002737,0.043460
0.570000,9.736196,-0.347698,0.166374,-0.012347,-0.006060,0.037776
0.580000,9.733600,-0.442373,-0.093263,-0.012806,-0.001564,0.033647
0.590000,9.762954,-0.140839,0.198285,-0.011914,-0.006500,0.024373
0.600000,9.759894,-0.042879,-0.007989,-0.010953,-0.001187,0.014036
0.610000,9.767811,-0.199739,-0.288479,-0.010533,0.001872,0.005803
0.620000,9.373586,-0.257809,-0.206838,-0.010026,0.001656,0.000481
0.630000,9.608576,0.021904,-0.339308,-0.009671,0.000665,-0.000705
0.640000,9.173097,0.054679,-0.287473,-0.009954,0.003652,-0.003236
0.650000,9.462899,0.042780,-0.083140,-0.009705,0.001494,-0.003404
0.660000,9.062395,0.049974,-0.160054,-0.009503,0.007151,-0.001551
0.670000,9.649538,0.118643,-0.074235,-0.008992,0.004727,0.001787
0.680000,9.479017,0.134429,-0.062912,-0.008876,0.010708,0.005267
0.690000,9.833218,0.270131,0.050865,-0.009877,0.004872,0.009186
0.700000,9.428396,0.334660,-0.154549,-0.011175,0.012402,0.013341
0.710000,9.594974,0.201902,-0.026793,-0.011900,0.007386,0.016259
0.720000,9.899177,0.170133,-0.082765,-0.012028,0.010165,0.018098
0.730000,10.208722,0.281132,0.134823,-0.012773,0.005655,0.018326
0.740000,10.171829,0.385297,-0.049969,-0.014027,0.010954,0.018168
0.750000,9.964704,0.287635,0.377215,-0.015201,0.001773,0.017741
0.760000,9.948092,0.325110,0.092355,-0.016035,0.006119,0.018262
0.770000,10.008856,0.203784,-0.000312,-0.016962,0.005775,0.017006
0.780000,9.922088,0.149549,0.135188,-0.018265,0.005228,0.016546
0.790000,10.338903,0.531030,-0.122757,-0.019853,0.005525,0.018270
0.800000,9.808199,0.423634,0.023712,-0.020786,0.006109,0.018225
0.810000,10.264817,0.122601,-0.202692,-0.020525,0.004917,0.017094
0.820000,9.554749,-0.040785,0.110031,-0.020140,0.004951,0.013707
0.830000,10.387231,0.132446,0.043071,-0.018786,0.000314,0.011303
0.840000,9.759035,0.401759,0.049751,-0.018145,0.005486,0.010083
0.850000,9.864289,0.182952,0.076630,-0.017615,0.000954,0.007680
0.860000,9.569809,-0.067386,0.001286,-0.015488,0.005111,0.005803
0.870000,10.077689,0.057908,0.151870,-0.013400,-0.001289,0.006110
0.880000,10.071143,0.306675,0.080546,-0.012283,0.002259,0.007918
0.890000,10.088379,0.434825,0.154314,-0.011430,-0.002418,0.011464
0.900000,9.807168,0.488304,0.219745,-0.011669,-0.002164,0.016302
0.910000,9.990493,0.509592,0.128341,-0.011098,-0.002531,0.021884
0.920000,10.062860,0.368065,0.014390,-0.010650,-0.000595,0.025905
0.930000,10.212627,0.147037,-0.177242,-0.010465,-0.000394,0.026475
0.940000,9.909565,-0.077871,-0.069391,-0.010852,-0.003049,0.022969
0.950000,9.670235,-0.193311,0.136313,-0.010852,-0.006529,0.018674
0.960000,9.762822,-0.168311,0.125495,-0.010138,-0.008021,0.013811
0.970000,9.792167,-0.071147,0.198949,-0.010855,-0.009980,0.005566
0.980000,9.369774,0.026893,-0.015431,-0.011148,-0.005062,-0.000504
0.990000,9.772265,0.229094,-0.008738,-0.010657,-0.009153,-0.001844
1.000000,9.230591,0.346046,-0.214031,-0.011200,-0.003770,-0.001726
1.010000,9.757958,0.425332,-0.033674,-0.012065,-0.012905,0.002729
1.020000,9.546637,0.437909,0.134255,-0.012065,-0.008545,0.005261
1.030000,9.793362,0.602090,0.074207,-0.012020,-0.007506,0.011473
1.040000,9.613190,0.563038,-0.317187,-0.012101,0.000199,0.016293
1.050000,9.746225,0.408496,-0.299753,-0.012646,-0.002310,0.019238
1.060000,9.920958,0.454432,-0.209761,-0.011943,-0.003170,0.026730
1.070000,9.308549,0.414160,0.042740,-0.013612,0.003739,0.028192
1.080000,9.448350,0.320046,0.034517,-0.015857,0.006139,0.030204
