time_s,face_yaw,face_pitch,face_roll,face_pos_x,face_pos_y,faceProb,leftEyeProb,rightEyeProb,leftBlinkProb,rightBlinkProb,sunglassesProb,occludedProb,readyProb_0,readyProb_1,readyProb_2,readyProb_3,notReadyProb_0,notReadyProb_1,poorVisionProb,awarenessStatus,isDistracted,distractedType,faceDetected,isRHD
0.000000,-0.009766,0.343750,-0.038956,0.154800,0.043579,0.080195,0.899872,0.900388,0.685265,0.713906,0.003539,0.476935,0.494765,0.515941,0.523157,0.493238,0.079193,0.539817,0.978099,1.000000,0,0,0,0
0.050000,-0.009766,0.343750,-0.038956,0.154800,0.043579,0.080195,0.899872,0.900388,0.685265,0.713906,0.003539,0.476935,0.494765,0.515941,0.523157,0.493238,0.079193,0.539817,0.978099,1.000000,0,0,0,0
0.100000,-0.009766,0.343750,-0.038956,0.154800,0.043579,0.080195,0.899872,0.900388,0.685265,0.713906,0.003539,0.476935,0.494765,0.515941,0.523157,0.493238,0.079193,0.539817,0.978099,1.000000,0,0,0,0
0.150000,-0.009766,0.343750,-0.038956,0.154800,0.043579,0.080195,0.899872,0.900388,0.685265,0.713906,0.003539,0.476935,0.494765,0.515941,0.523157,0.493238,0.079193,0.539817,0.978099,1.000000,0,0,0,0
0.200000,-0.009766,0.343750,-0.038956,0.154800,0.043579,0.080195,0.899872,0.900388,0.685265,0.713906,0.003539,0.476935,0.494765,0.515941,0.523157,0.493238,0.079193,0.539817,0.978099,1.000000,0,0,0,0
0.250000,-0.009766,0.343750,-0.038956,0.154800,0.043579,0.080195,0.899872,0.900388,0.685265,0.713906,0.003539,0.476935,0.494765,0.515941,0.523157,0.493238,0.079193,0.539817,0.978099,1.000000,0,0,0,0
0.300000,-0.009766,0.343750,-0.038956,0.154800,0.043579,0.080195,0.899872,0.900388,0.685265,0.713906,0.003539,0.476935,0.494765,0.515941,0.523157,0.493238,0.079193,0.539817,0.978099,1.000000,0,0,0,0
0.350000,-0.009766,0.343750,-0.038956,0.154800,0.043579,0.080195,0.899872,0.900388,0.685265,0.713906,0.003539,0.476935,0.494765,0.515941,0.523157,0.493238,0.079193,0.539817,0.978099,1.000000,0,0,0,0
0.400000,-0.037304,0.325554,-0.039427,0.155231,0.042261,0.083989,0.888001,0.889980,0.687346,0.719072,0.004919,0.475841,0.495077,0.515692,0.523384,0.493348,0.082260,0.539829,0.978810,1.000000,0,0,0,0
0.450000,-0.073588,0.301418,-0.038559,0.155552,0.041884,0.084527,0.872944,0.877460,0.691333,0.730442,0.007564,0.474327,0.495492,0.515761,0.523905,0.493459,0.086649,0.539907,0.981552,1.000000,0,0,0,0
0.500000,-0.067488,0.309176,-0.038410,0.155747,0.042688,0.078687,0.882371,0.886049,0.690256,0.725068,0.008494,0.474437,0.495465,0.516387,0.524220,0.493389,0.079862,0.539902,0.983669,1.000000,0,0,0,0
0.550000,-0.073878,0.310297,-0.031471,0.156572,0.041642,0.072858,0.881459,0.881940,0.687873,0.724579,0.019446,0.474255,0.495675,0.515498,0.524022,0.493306,0.077761,0.540358,0.984340,1.000000,0,0,0,0
0.600000,-0.073233,0.324282,-0.020016,0.156754,0.038810,0.067964,0.870332,0.864294,0.700181,0.751355,0.036633,0.474879,0.495644,0.515366,0.524229,0.493082,0.086016,0.539785,0.986376,1.000000,0,0,0,0
0.650000,-0.078091,0.323666,-0.016809,0.155762,0.036971,0.072482,0.838576,0.830990,0.686291,0.740524,0.034060,0.474503,0.495864,0.515271,0.524276,0.492933,0.086930,0.539625,0.986786,1.000000,0,0,0,0
0.700000,-0.090414,0.318834,-0.018565,0.157989,0.033506,0.081790,0.804251,0.799111,0.680143,0.732781,0.023438,0.474783,0.496006,0.514650,0.524089,0.493307,0.086089,0.539679,0.985744,1.000000,0,0,0,0
0.750000,-0.091370,0.316440,-0.016898,0.158683,0.031789,0.089304,0.770282,0.766092,0.691025,0.742027,0.020124,0.474629,0.496088,0.514288,0.523976,0.493425,0.084955,0.539672,0.985376,1.000000,0,0,0,0
0.800000,-0.086456,0.314689,-0.011891,0.155769,0.031931,0.096243,0.749516,0.744071,0.698876,0.749501,0.017797,0.474214,0.496141,0.514457,0.524011,0.493219,0.083666,0.539550,0.985124,1.000000,0,0,0,0
0.850000,-0.089097,0.310388,-0.008047,0.153961,0.032366,0.099411,0.698262,0.694942,0.702616,0.749489,0.014549,0.473697,0.496122,0.514264,0.523919,0.493035,0.084911,0.539321,0.984170,1.000000,0,0,0,0
0.900000,-0.085972,0.317643,-0.008163,0.154487,0.029730,0.115389,0.704282,0.697776,0.701593,0.751326,0.019204,0.474460,0.496050,0.513918,0.523702,0.493096,0.083580,0.539202,0.983152,1.000000,0,0,0,0
0.950000,-0.089895,0.311193,-0.008139,0.153427,0.032020,0.126937,0.716794,0.709988,0.699941,0.750689,0.016083,0.474108,0.495847,0.513654,0.523461,0.492981,0.086089,0.539244,0.984048,1.000000,0,0,0,0
1.000000,-0.080709,0.318892,-0.007219,0.155995,0.029844,0.142610,0.701885,0.694772,0.697391,0.745942,0.018395,0.474626,0.495784,0.513506,0.523377,0.493118,0.080107,0.539214,0.984293,1.000000,0,0,0,0
1.050000,-0.086988,0.312040,-0.010451,0.151302,0.029974,0.138928,0.548465,0.540582,0.697815,0.744411,0.013956,0.474336,0.496028,0.513635,0.523420,0.492752,0.082990,0.539155,0.982641,1.000000,0,0,0,0
1.100000,-0.073650,0.306164,-0.007767,0.149942,0.028631,0.175596,0.330517,0.313681,0.687951,0.729653,0.004976,0.474256,0.495939,0.513034,0.523149,0.492611,0.081467,0.539170,0.981116,1.000000,0,0,0,0
1.150000,-0.054116,0.313909,-0.006494,0.155263,0.025494,0.304827,0.222247,0.201076,0.687034,0.715237,0.001667,0.474645,0.495454,0.511441,0.522829,0.493387,0.076187,0.539311,0.980655,1.000000,0,0,0,0
1.200000,-0.042525,0.316561,-0.000175,0.154971,0.025837,0.408076,0.173177,0.153793,0.699110,0.719480,0.000982,0.473991,0.495450,0.510698,0.522849,0.493461,0.077881,0.539356,0.979998,1.000000,0,0,0,0
1.250000,-0.035984,0.319127,0.004587,0.155570,0.024349,0.488654,0.155047,0.137235,0.697037,0.716993,0.000877,0.473900,0.495351,0.510334,0.523029,0.493438,0.075598,0.539287,0.979159,1.000000,0,0,0,0
1.300000,-0.031193,0.325765,0.008642,0.155055,0.023620,0.553242,0.143437,0.117643,0.705394,0.722713,0.000698,0.473856,0.495264,0.510051,0.523241,0.493372,0.077906,0.539263,0.980465,1.000000,0,0,0,0
1.350000,-0.029804,0.335785,0.011625,0.153278,0.024787,0.573273,0.133239,0.099760,0.716872,0.728509,0.000432,0.473585,0.495229,0.509850,0.523381,0.493263,0.084887,0.539274,0.982469,1.000000,0,0,0,0
1.400000,-0.019280,0.344880,0.014318,0.152759,0.022993,0.557809,0.129924,0.092702,0.695961,0.707992,0.000406,0.473736,0.495211,0.509672,0.523565,0.493170,0.083489,0.539261,0.983428,1.000000,0,0,0,0
1.450000,-0.005213,0.357937,0.016786,0.153056,0.021088,0.534620,0.130476,0.090682,0.668602,0.679339,0.000405,0.474276,0.495324,0.509845,0.523648,0.493140,0.081410,0.539287,0.984394,1.000000,0,0,0,0
1.500000,-0.006176,0.366864,0.018678,0.151647,0.024071,0.427226,0.118417,0.078393,0.695463,0.696906,0.000202,0.473944,0.495233,0.509593,0.523651,0.493173,0.092163,0.539173,0.986782,1.000000,0,0,0,0
1.550000,-0.011035,0.365137,0.015915,0.151394,0.022594,0.415357,0.110483,0.072690,0.690523,0.692199,0.000125,0.473865,0.495260,0.509399,0.523613,0.493203,0.094217,0.539209,0.986453,1.000000,0,0,0,0
1.600000,-0.006873,0.360840,0.014591,0.149396,0.020772,0.482405,0.108382,0.071731,0.681962,0.686931,0.000105,0.473957,0.495522,0.509691,0.523581,0.493152,0.091353,0.539334,0.984618,1.000000,0,0,0,0
1.650000,-0.015119,0.358520,0.010918,0.147181,0.024135,0.406354,0.101565,0.068212,0.686055,0.691030,0.000073,0.473592,0.495642,0.509714,0.523576,0.493091,0.093958,0.539375,0.986363,1.000000,0,0,0,0
