event_id,route_id,driver_id,vehicle_model,t_event,takeover_type,reaction_time_s,steering_rate_std,steering_reversal_count,peak_deceleration,peak_deceleration_cost,acceleration_std,lane_offset_variance,lane_center_variance,yaw_rate_variance,reaction_smoothness_score,steering_smoothness_score,longitudinal_smoothness_score,lateral_stability_score
TAKE_00152,driver_97/route_21,driver_97,HONDA_CIVIC,4544.78,Mixed,0.0,3.7814270684115416,1,-0.504024,0.504024,0.1750751512632785,0.0004490520130213736,0.00031979039471672244,0.0002398253364433887,1.0,0.9008034542992462,0.8184624653226383,0.9580547479527777
TAKE_00153,driver_97/route_21,driver_97,HONDA_CIVIC,4576.78,Mixed,0.0,1.716133906832078,0,-0.36178,0.36178,0.13017663288745843,0.0007929260220146733,0.0007251333068885937,0.00018079920450735326,1.0,0.9652957706690044,0.8673380029781276,0.9679015012794914
TAKE_00154,driver_97/route_21,driver_97,HONDA_CIVIC,4650.08,Steering,0.0,3.082336879268304,6,-0.495363,0.495363,0.14510349210998125,0.0005746012279719272,0.00032434494539022705,0.00014340108967517164,1.0,0.8013043244477809,0.8356737783487551,0.9745980349788979
TAKE_00155,driver_97/route_21,driver_97,HONDA_CIVIC,4693.71,Mixed,0.0,10.249771135065119,6,-2.508616,2.508616,0.925792629720101,0.05433114600940932,0.034068651042526654,0.0028912738785131565,1.0,0.6563620905476463,0.06801793442867676,0.4429818248052749
TAKE_00156,driver_97/route_21,driver_97,HONDA_CIVIC,4783.0,Mixed,0.0,24.725140709281412,6,-1.02727,1.02727,0.25822249725961566,0.020595233646399168,0.01760677838815085,0.0011705657688165006,1.0,0.36363636363636365,0.681535513052008,0.7759553977978075
TAKE_00157,driver_97/route_21,driver_97,HONDA_CIVIC,4902.92,Mixed,0.0,3.630020545880258,4,-0.942485,0.942485,0.19390053317441894,0.00530551448780875,0.003911526727459414,0.0009859791232126687,1.0,0.8356834290574868,0.7302980017883887,0.8239226284538506
TAKE_00158,driver_97/route_21,driver_97,HONDA_CIVIC,5056.02,Mixed,0.0,2.2496975637989354,1,-1.070884,1.070884,0.2289731717598299,0.004192856996177241,0.0031162607969787916,0.0001304122889611517,1.0,0.9317785966173973,0.6890310185453644,0.9730470401400763
TAKE_00159,driver_97/route_21,driver_97,HONDA_CIVIC,5150.4,Mixed,0.0,3.4862685230029236,2,-0.810876,0.810876,0.1393398269632056,0.0025894408474355602,0.002351513711607404,0.00014894955737271317,1.0,0.8840449756200861,0.7823234888875201,0.9715240288486816
TAKE_00160,driver_97/route_21,driver_97,HONDA_CIVIC,5247.75,Mixed,0.0,2.4853786461375407,2,-1.797064,1.797064,0.3744482609388343,0.008164887477257484,0.008057741102257845,6.662418701417497e-05,1.0,0.9042853028367006,0.4832779374525299,0.9799097082681845
TAKE_00161,driver_97/route_22,driver_97,HONDA_CIVIC,612.93,Mixed,0.0,18.31922492695384,6,-0.17143,0.17143,0.2911302650963562,0.05674865760324961,0.05370958832103353,0.000707892386590299,1.0,0.49317891827029736,0.8172222917910007,0.8180259810424495
