time_s,face_yaw,face_pitch,face_roll,face_pos_x,face_pos_y,faceProb,leftEyeProb,rightEyeProb,leftBlinkProb,rightBlinkProb,sunglassesProb,occludedProb,readyProb_0,readyProb_1,readyProb_2,readyProb_3,notReadyProb_0,notReadyProb_1,poorVisionProb,awarenessStatus,isDistracted,distractedType,faceDetected,isRHD
0.000000,0.191376,-0.598633,-0.242813,0.109390,-0.025177,0.935332,0.041872,0.085052,0.282048,0.310459,0.000651,0.470134,0.495970,0.532231,0.528558,0.493462,0.060849,0.531521,0.864110,1.000000,0,0,0,0
0.050000,0.191376,-0.598633,-0.242813,0.109390,-0.025177,0.935332,0.041872,0.085052,0.282048,0.310459,0.000651,0.470134,0.495970,0.532231,0.528558,0.493462,0.060849,0.531521,0.864110,1.000000,0,0,0,0
0.100000,0.191376,-0.598633,-0.242813,0.109390,-0.025177,0.935332,0.041872,0.085052,0.282048,0.310459,0.000651,0.470134,0.495970,0.532231,0.528558,0.493462,0.060849,0.531521,0.864110,1.000000,0,0,0,0
0.150000,0.191376,-0.598633,-0.242813,0.109390,-0.025177,0.935332,0.041872,0.085052,0.282048,0.310459,0.000651,0.470134,0.495970,0.532231,0.528558,0.493462,0.060849,0.531521,0.864110,1.000000,0,0,0,0
0.200000,0.191376,-0.598633,-0.242813,0.109390,-0.025177,0.935332,0.041872,0.085052,0.282048,0.310459,0.000651,0.470134,0.495970,0.532231,0.528558,0.493462,0.060849,0.531521,0.864110,1.000000,0,0,0,0
0.250000,0.191376,-0.598633,-0.242813,0.109390,-0.025177,0.935332,0.041872,0.085052,0.282048,0.310459,0.000651,0.470134,0.495970,0.532231,0.528558,0.493462,0.060849,0.531521,0.864110,1.000000,0,0,0,0
0.300000,0.121757,-0.589145,-0.149344,0.108907,-0.024485,0.951518,0.043254,0.084615,0.221024,0.225094,0.000255,0.468646,0.493878,0.531964,0.528085,0.493648,0.053949,0.530651,0.360578,1.000000,0,0,0,0
0.350000,0.059080,-0.555663,-0.097576,0.108278,-0.024399,0.960367,0.048993,0.089670,0.192656,0.190196,0.001280,0.468519,0.493314,0.532095,0.528401,0.493444,0.051776,0.531035,0.101340,1.000000,0,0,0,0
0.400000,0.066702,-0.563026,-0.104760,0.108283,-0.024301,0.960799,0.049744,0.091139,0.188654,0.185342,0.002030,0.468486,0.493292,0.532054,0.528211,0.493456,0.049563,0.530784,0.085476,1.000000,0,0,0,0
0.450000,0.064110,-0.562791,-0.117523,0.108426,-0.024086,0.960613,0.049347,0.099127,0.180235,0.171445,0.187875,0.468668,0.493631,0.532423,0.528288,0.493445,0.048012,0.530788,0.122796,1.000000,0,0,0,0
0.500000,0.083612,-0.554961,-0.128102,0.108207,-0.023811,0.961815,0.050054,0.121534,0.173114,0.162419,0.915851,0.468158,0.494204,0.533230,0.529252,0.493803,0.050578,0.530941,0.017956,1.000000,0,0,0,0
0.550000,0.083609,-0.559768,-0.129364,0.108085,-0.023513,0.961179,0.067062,0.160329,0.168899,0.152806,0.961727,0.468083,0.494326,0.533194,0.529049,0.493834,0.046555,0.530686,0.022949,1.000000,0,0,0,0
0.600000,0.085984,-0.568827,-0.123933,0.107986,-0.023340,0.960884,0.096373,0.225366,0.164875,0.145900,0.990293,0.467726,0.494693,0.533316,0.529163,0.493944,0.043799,0.530996,0.025180,1.000000,0,0,0,0
0.650000,0.081630,-0.575722,-0.117287,0.107975,-0.023440,0.960491,0.134309,0.289515,0.162582,0.141209,0.958721,0.467598,0.494791,0.533437,0.529348,0.493936,0.039771,0.531035,0.026832,1.000000,0,0,0,0
0.700000,0.090287,-0.573821,-0.115407,0.107844,-0.023425,0.959713,0.190238,0.371509,0.166965,0.142022,0.787172,0.467585,0.494782,0.533740,0.529210,0.493975,0.037846,0.530913,0.028236,1.000000,0,0,0,0
0.750000,0.097388,-0.583540,-0.113880,0.107510,-0.023314,0.959178,0.289102,0.504839,0.167993,0.131898,0.548841,0.467158,0.494898,0.534291,0.529213,0.493936,0.032197,0.530823,0.029799,1.000000,0,0,0,0
0.800000,0.105778,-0.588510,-0.121117,0.107570,-0.023342,0.959047,0.353137,0.575152,0.170278,0.126388,0.201211,0.466884,0.495003,0.534572,0.529059,0.493937,0.030746,0.531019,0.034051,1.000000,0,0,0,0
0.850000,0.107533,-0.592193,-0.126697,0.107660,-0.023425,0.959234,0.323331,0.538395,0.163633,0.116084,0.132584,0.466755,0.494936,0.534481,0.528915,0.493954,0.028906,0.531131,0.028502,1.000000,0,0,0,0
0.900000,0.101741,-0.592803,-0.128915,0.107830,-0.023820,0.958900,0.393843,0.612084,0.157626,0.104213,0.116023,0.466890,0.494980,0.534445,0.528894,0.493956,0.028558,0.530952,0.029829,1.000000,0,0,0,0
0.950000,0.093771,-0.577820,-0.127854,0.107761,-0.024061,0.958779,0.297136,0.506161,0.162962,0.106940,0.149676,0.467569,0.494834,0.534418,0.528784,0.493879,0.034485,0.530695,0.029283,1.000000,0,0,0,0
1.000000,0.095577,-0.585518,-0.135268,0.108147,-0.023806,0.958568,0.370988,0.588337,0.166525,0.109075,0.039418,0.467516,0.494727,0.534575,0.528547,0.493927,0.034463,0.530569,0.032536,1.000000,0,0,0,0
1.050000,0.087946,-0.590071,-0.120455,0.108540,-0.023644,0.959131,0.278584,0.471529,0.165270,0.111055,0.069651,0.467473,0.494677,0.534254,0.528562,0.493956,0.037639,0.530822,0.024732,1.000000,0,0,0,0
1.100000,0.090888,-0.585540,-0.116927,0.108737,-0.023566,0.960064,0.124434,0.255906,0.166936,0.118669,0.017781,0.467631,0.494475,0.533395,0.528259,0.494110,0.043910,0.530722,0.012333,1.000000,0,0,0,0
1.150000,0.066026,-0.549776,-0.107962,0.108614,-0.023856,0.956133,0.219179,0.379181,0.154887,0.113633,0.052071,0.469360,0.494211,0.533053,0.528218,0.493867,0.058197,0.529996,0.007624,1.000000,0,0,0,0
1.200000,0.133530,-0.470228,-0.138316,0.110209,-0.022341,0.940659,0.486614,0.675141,0.155312,0.124317,0.000017,0.472257,0.493951,0.532876,0.526511,0.494238,0.101141,0.529695,0.010633,1.000000,0,0,0,0
1.250000,0.064113,-0.468607,-0.152420,0.110376,-0.021204,0.939052,0.477677,0.680556,0.146178,0.127783,0.000022,0.474111,0.493319,0.532457,0.525956,0.494154,0.162557,0.529559,0.013558,1.000000,0,0,0,0
