time_s,gps_lat,gps_lon,gps_alt,gps_speed,gps_bearing,gps_hAcc,gps_vAcc,gps_speedAcc,gps_bearingAcc,gps_unixTimestamp,gps_hasFix,gps_source,gps_flags,gps_phone_lat,gps_phone_lon,gps_phone_alt,gps_phone_speed,gps_phone_bearing,gps_phone_hAcc,gps_phone_hasFix
5.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
5.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
6.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
7.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
8.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
9.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
10.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
