time_s,model_desiredCurvature,model_desiredAcceleration,laneLeft_prob,laneRight_prob,laneLeft_y,laneRight_y,laneChangeState,laneChangeDirection,aTarget,shouldStop,hasLead,fcw,longPlanSource
0.000000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.050000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.100000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.150000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.200000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.250000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.300000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.350000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.400000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.450000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.500000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.550000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.600000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.650000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.700000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.750000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.800000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.850000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.900000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
0.950000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.000000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.050000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.100000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.150000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.200000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.250000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.300000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.350000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.400000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.450000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.500000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.550000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.600000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.650000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.700000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.750000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.800000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.850000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.900000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
1.950000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.000000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.050000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.100000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.150000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.200000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.250000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.300000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.350000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.400000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.450000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.500000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.550000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.600000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.650000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.700000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.750000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.800000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.850000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.900000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
2.950000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.000000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.050000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.100000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.150000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.200000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.250000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.300000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.350000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.400000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.450000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.500000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.550000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.600000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.650000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.700000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.750000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.800000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.850000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.900000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
3.950000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
4.000000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
4.050000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
4.100000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
4.150000,0.000000,,0.039937,0.029036,-1.519531,1.182617,off,none,0.717220,0,0,0,cruise
4.200000,0.000000,,0.050043,0.032545,-1.526923,1.169990,off,none,0.717220,0,0,0,cruise
4.250000,0.000000,,0.066501,0.038260,-1.538960,1.149426,off,none,0.787907,0,0,0,cruise
4.300000,0.000000,,0.060796,0.031618,-1.570489,1.200240,off,none,0.867783,0,0,0,cruise
4.350000,0.000000,,0.073913,0.027464,-1.547304,1.231183,off,none,0.878857,0,0,0,cruise
4.400000,0.000000,,0.092915,0.032036,-1.501930,1.232422,off,none,0.397407,0,0,0,cruise
4.450000,0.000000,,0.094238,0.030392,-1.496267,1.250391,off,none,0.293448,1,1,0,cruise
4.500000,0.000000,,0.099331,0.031592,-1.498641,1.253352,off,none,0.493202,0,1,0,cruise
4.550000,0.000000,,0.094237,0.033157,-1.506778,1.262394,off,none,0.700806,0,1,0,cruise
4.600000,0.000000,,0.096859,0.033024,-1.502274,1.243476,off,none,0.862336,0,0,0,cruise
4.650000,0.000000,,0.083328,0.029849,-1.484858,1.231445,off,none,0.881554,0,0,0,cruise
4.700000,0.000000,,0.090921,0.032288,-1.498754,1.227398,off,none,0.878909,0,0,0,cruise
4.750000,0.000000,,0.087323,0.028552,-1.486066,1.226266,off,none,0.878800,0,0,0,cruise
4.800000,0.000000,,0.083745,0.026051,-1.487518,1.210813,off,none,0.354464,0,0,0,cruise
4.850000,0.000000,,0.082030,0.025431,-1.491509,1.221751,off,none,0.434229,1,1,0,cruise
4.900000,0.000000,,0.090085,0.026812,-1.477952,1.248055,off,none,0.797419,0,0,0,cruise
4.950000,0.000000,,0.090458,0.025636,-1.463880,1.250337,off,none,0.868330,0,0,0,cruise
5.000000,0.000000,,0.083480,0.025685,-1.457368,1.237994,off,none,0.878839,0,0,0,cruise
5.050000,0.000000,,0.089444,0.023769,-1.457310,1.246575,off,none,0.878821,0,0,0,cruise
5.100000,0.000000,,0.091052,0.026256,-1.441207,1.244214,off,none,0.878791,0,0,0,cruise
5.150000,0.000000,,0.076687,0.026348,-1.442583,1.261846,off,none,0.878791,0,0,0,cruise
5.200000,0.000000,,0.082267,0.025402,-1.430669,1.253208,off,none,0.878791,0,0,0,cruise
5.250000,0.000000,,0.095719,0.029421,-1.452766,1.268072,off,none,0.878791,0,0,0,cruise
5.300000,0.000000,,0.102184,0.027570,-1.452584,1.270499,off,none,0.878791,0,0,0,cruise
5.350000,0.000000,,0.099148,0.028296,-1.442371,1.277049,off,none,0.878791,0,0,0,cruise
5.400000,0.000000,,0.096813,0.028507,-1.436414,1.272856,off,none,0.878791,0,0,0,cruise
5.450000,0.000000,,0.090498,0.027108,-1.453800,1.278501,off,none,0.878791,0,0,0,cruise
