time_s,face_yaw,face_pitch,face_roll,face_pos_x,face_pos_y,faceProb,leftEyeProb,rightEyeProb,leftBlinkProb,rightBlinkProb,sunglassesProb,occludedProb,readyProb_0,readyProb_1,readyProb_2,readyProb_3,notReadyProb_0,notReadyProb_1,poorVisionProb,awarenessStatus,isDistracted,distractedType,faceDetected,isRHD
0.000000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.050000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.100000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.150000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.200000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.250000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.300000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.350000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.400000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.450000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.500000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.550000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.600000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.650000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
0.700000,0.206757,0.767578,0.055710,0.118607,-0.013168,0.875548,0.085442,0.056620,0.218128,0.208723,0.000017,0.522055,0.490184,0.519451,0.522822,0.493720,0.036969,0.538631,0.527742,1.000000,0,0,0,0
